Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,ANOIA,08048,CARME,7,USOS DOMESTICS,1052420,
2013,BARCELONA,BERGUEDA,08049,CASSERRES,1,PRIMARI,220284,
2013,BARCELONA,BERGUEDA,08049,CASSERRES,3,INDUSTRIAL,10932777,
2013,BARCELONA,BERGUEDA,08049,CASSERRES,4,CONSTRUCCIO I OBRES PUBLIQUES,134210,
2013,BARCELONA,BERGUEDA,08049,CASSERRES,6,TERCIARI,2241534,
2013,BARCELONA,BERGUEDA,08049,CASSERRES,7,USOS DOMESTICS,2921313,
2013,BARCELONA,BERGUEDA,08050,CASTELLAR DEL RIU,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,BERGUEDA,08050,CASTELLAR DEL RIU,6,TERCIARI,415115,
2013,BARCELONA,BERGUEDA,08050,CASTELLAR DEL RIU,7,USOS DOMESTICS,208314,
2013,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,1,PRIMARI,188203,
2013,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,3,INDUSTRIAL,95318517,
2013,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,4,CONSTRUCCIO I OBRES PUBLIQUES,563052,
2013,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,6,TERCIARI,27365943,
2013,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,7,USOS DOMESTICS,29746369,
2013,BARCELONA,BERGUEDA,08052,CASTELLAR DE N'HUG,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,BERGUEDA,08052,CASTELLAR DE N'HUG,4,CONSTRUCCIO I OBRES PUBLIQUES,20537,
2013,BARCELONA,BERGUEDA,08052,CASTELLAR DE N'HUG,6,TERCIARI,474253,
2013,BARCELONA,BERGUEDA,08052,CASTELLAR DE N'HUG,7,USOS DOMESTICS,278185,
2013,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,1,PRIMARI,33900,
2013,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,3,INDUSTRIAL,3050487,
2013,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,4,CONSTRUCCIO I OBRES PUBLIQUES,354366,
2013,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,6,TERCIARI,4354126,
2013,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,7,USOS DOMESTICS,5721619,
2013,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,1,PRIMARI,177924,
2013,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,3,INDUSTRIAL,1516975104,Inclou el consum del sector energètic.
2013,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,4,CONSTRUCCIO I OBRES PUBLIQUES,402145,
2013,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,6,TERCIARI,34184992,
2013,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,7,USOS DOMESTICS,15469407,
2013,BARCELONA,MOIANES,08055,CASTELLCIR,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,MOIANES,08055,CASTELLCIR,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,MOIANES,08055,CASTELLCIR,4,CONSTRUCCIO I OBRES PUBLIQUES,14367,
2013,BARCELONA,MOIANES,08055,CASTELLCIR,6,TERCIARI,773496,
2013,BARCELONA,MOIANES,08055,CASTELLCIR,7,USOS DOMESTICS,1117439,
2013,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,3,INDUSTRIAL,2836635,
2013,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,4,CONSTRUCCIO I OBRES PUBLIQUES,550076,
2013,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,5,TRANSPORT,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,6,TERCIARI,90647323,
